summons_number,issue_date,violation,fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,county,issuing_agency,is_camera_violation,report_date
9120269043,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9120424280,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9120784363,2024-04-25,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9121179827,2024-04-25,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9121242446,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9122487440,2024-04-25,NO PARKING-EXC. DSBLTY PERMIT,180.0,0.0,0.0,180.0,0.0,R,TRAFFIC,False,2026-08-22
9122973710,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9123267781,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,Q,TRAFFIC,False,2026-08-22
9123360884,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9123402404,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9123409411,2024-04-25,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9123725990,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123726090,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123934890,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9124476160,2024-04-25,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
