issue_day,violation,violations_count,amount_due
2024-03-01,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-03-02,MOBILE BUS LANE VIOLATION,192,0.0
2024-03-02,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-03-02,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-03-02,MISUSE PARKING PERMIT,6,0.0
2024-03-02,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-03-03,MOBILE BUS LANE VIOLATION,149,0.0
2024-03-03,NO STAND TAXI/FHV RELIEF STAND,45,0.0
2024-03-03,MISUSE PARKING PERMIT,5,0.0
2024-03-03,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-03-04,MOBILE BUS LANE VIOLATION,429,0.0
2024-03-04,NO STAND TAXI/FHV RELIEF STAND,20,0.0
2024-03-04,NO PARKING-EXC. DSBLTY PERMIT,16,0.0
2024-03-04,FRAUDULENT USE PARKING PERMIT,14,0.0
2024-03-04,MISUSE PARKING PERMIT,13,0.0
2024-03-05,MOBILE BUS LANE VIOLATION,415,0.0
2024-03-05,MISUSE PARKING PERMIT,20,0.0
2024-03-05,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-03-05,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-05,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-03-06,MOBILE BUS LANE VIOLATION,358,0.0
2024-03-06,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-03-06,MISUSE PARKING PERMIT,13,0.0
2024-03-06,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-03-06,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-03-07,MOBILE BUS LANE VIOLATION,432,0.0
2024-03-07,MISUSE PARKING PERMIT,14,0.0
2024-03-07,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-07,NO STAND TAXI/FHV RELIEF STAND,7,0.0
2024-03-07,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-08,MOBILE BUS LANE VIOLATION,364,0.0
2024-03-08,FRAUDULENT USE PARKING PERMIT,20,0.0
2024-03-08,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-03-08,MISUSE PARKING PERMIT,17,0.0
2024-03-08,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-03-09,MOBILE BUS LANE VIOLATION,152,0.0
2024-03-09,NO STAND TAXI/FHV RELIEF STAND,19,0.0
2024-03-09,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-03-09,MISUSE PARKING PERMIT,2,0.0
2024-03-09,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-03-10,MOBILE BUS LANE VIOLATION,120,0.0
2024-03-10,NO STAND TAXI/FHV RELIEF STAND,52,0.0
2024-03-10,MISUSE PARKING PERMIT,13,0.0
2024-03-10,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-03-11,MOBILE BUS LANE VIOLATION,368,0.0
2024-03-11,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-03-11,MISUSE PARKING PERMIT,14,0.0
2024-03-11,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-03-11,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-03-12,MOBILE BUS LANE VIOLATION,342,0.0
2024-03-12,MISUSE PARKING PERMIT,16,0.0
2024-03-12,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-12,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-03-12,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-03-13,MOBILE BUS LANE VIOLATION,321,0.0
2024-03-13,FRAUDULENT USE PARKING PERMIT,15,0.0
2024-03-13,MISUSE PARKING PERMIT,15,0.0
2024-03-13,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-03-13,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-03-14,MOBILE BUS LANE VIOLATION,364,0.0
2024-03-14,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-03-14,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-03-14,MISUSE PARKING PERMIT,10,0.0
2024-03-14,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
